Year,Statistic Name,Name(s),Team(s),Statistic Value
1901,Complete Games,Joe McGinnity,Baltimore,39.0
1901,ERA,Cy Young,Boston,1.62
1901,Games,Joe McGinnity,Baltimore,48.0
1901,Saves,Bill Hoffer,Cleveland,3.0
1901,Shutouts,Clark Griffith,Chicago,5.0
1901,Shutouts,Cy Young,Boston,5.0
1901,Strikeouts,Cy Young,Boston,158.0
1901,Winning Percentage,Clark Griffith,Chicago,0.774
1901,Wins,Cy Young,Boston,33.0
1902,Complete Games,Cy Young,Boston,41.0
1902,ERA,Ed Siever,Detroit,1.91
1902,Games,Cy Young,Boston,45.0
1902,Saves,Jack Powell,St. Louis,2.0
1902,Shutouts,Addie Joss,Cleveland,5.0
1902,Strikeouts,Rube Waddell,Philadelphia,210.0
1902,Winning Percentage,Bill Bernhard,Philadelphia,0.783
1902,Winning Percentage,Bill Bernhard,Cleveland,0.783
1902,Wins,Cy Young,Boston,32.0
1903,Complete Games,Bill Donovan,Detroit,34.0
1903,Complete Games,Rube Waddell,Philadelphia,34.0
1903,Complete Games,Cy Young,Boston,34.0
1903,ERA,Earl Moore,Cleveland,1.74
1903,Games,Eddie Plank,Philadelphia,43.0
1903,Saves,Bill Dinneen,Boston,2.0
1903,Saves,George Mullin,Detroit,2.0
1903,Saves,Al Orth,Washington,2.0
1903,Saves,Jack Powell,St. Louis,2.0
1903,Saves,Cy Young,Boston,2.0
1903,Shutouts,Cy Young,Boston,7.0
1903,Strikeouts,Rube Waddell,Philadelphia,302.0
1903,Winning Percentage,Cy Young,Boston,0.757
1903,Wins,Cy Young,Boston,28.0
1904,Complete Games,Jack Chesbro,New York,48.0
1904,ERA,Addie Joss,Cleveland,1.59
1904,Games,Jack Chesbro,New York,55.0
1904,Saves,Case Patten,Washington,3.0
1904,Shutouts,Cy Young,Boston,10.0
1904,Strikeouts,Rube Waddell,Philadelphia,349.0
1904,Winning Percentage,Jack Chesbro,New York,0.774
1904,Wins,Jack Chesbro,New York,41.0
1905,Complete Games,Harry Howell,St. Louis,35.0
1905,Complete Games,George Mullin,Detroit,35.0
1905,Complete Games,Eddie Plank,Philadelphia,35.0
1905,ERA,Rube Waddell,Philadelphia,1.48
1905,Games,Rube Waddell,Philadelphia,46.0
1905,Saves,Jim Buchanan,St. Louis,2.0
1905,Shutouts,Ed Killian,Detroit,8.0
1905,Strikeouts,Rube Waddell,Philadelphia,287.0
1905,Winning Percentage,Rube Waddell,Philadelphia,0.73
1905,Wins,Rube Waddell,Philadelphia,27.0
1906,Complete Games,Al Orth,New York,36.0
1906,ERA,Doc White,Chicago,1.52
1906,Games,Jack Chesbro,New York,49.0
1906,Saves,Chief Bender,Philadelphia,3.0
1906,Saves,Otto Hess,Cleveland,3.0
1906,Shutouts,Ed Walsh,Chicago,10.0
1906,Strikeouts,Rube Waddell,Philadelphia,196.0
1906,Winning Percentage,Eddie Plank,Philadelphia,0.76
1906,Wins,Al Orth,New York,27.0
1907,Complete Games,Ed Walsh,Chicago,37.0
1907,ERA,Ed Walsh,Chicago,1.6
1907,Games,Ed Walsh,Chicago,56.0
1907,Saves,Bill Dinneen,Philadelphia,4.0
1907,Saves,Bill Dinneen,St. Louis,4.0
