Year,Statistic Name,Name(s),Team(s),Statistic Value
1901,Base on Balls,Dummy Hoy,Chicago,86.0
1901,Batting Average,Nap Lajoie,Philadelphia,0.426
1901,Doubles,Nap Lajoie,Philadelphia,48.0
1901,Hits,Nap Lajoie,Philadelphia,232.0
1901,Home Runs,Nap Lajoie,Philadelphia,14.0
1901,On Base Percentage,Nap Lajoie,Philadelphia,0.463
1901,RBI,Nap Lajoie,Philadelphia,125.0
1901,Runs,Nap Lajoie,Philadelphia,145.0
1901,Slugging Average,Nap Lajoie,Philadelphia,0.643
1901,Stolen Bases,Frank Isbell,Chicago,52.0
1901,Total Bases,Nap Lajoie,Philadelphia,350.0
1901,Triples,Bill Keister,Baltimore,21.0
1901,Triples,Jimmy Williams,Baltimore,21.0
1902,Base on Balls,Topsy Hartsel,Philadelphia,87.0
1902,Batting Average,Ed Delahanty,Washington,0.376
1902,Doubles,Harry Davis,Philadelphia,43.0
1902,Doubles,Ed Delahanty,Washington,43.0
1902,Hits,Charlie Hickman,Boston,193.0
1902,Hits,Charlie Hickman,Cleveland,193.0
1902,Home Runs,Socks Seybold,Philadelphia,16.0
1902,On Base Percentage,Ed Delahanty,Washington,0.453
1902,RBI,Buck Freeman,Boston,121.0
1902,Runs,Dave Fultz,Philadelphia,109.0
1902,Runs,Topsy Hartsel,Philadelphia,109.0
1902,Slugging Average,Ed Delahanty,Washington,0.59
1902,Stolen Bases,Topsy Hartsel,Philadelphia,47.0
1902,Total Bases,Charlie Hickman,Boston,288.0
1902,Total Bases,Charlie Hickman,Cleveland,288.0
1902,Triples,Jimmy Williams,Baltimore,21.0
1903,Base on Balls,Jimmy Barrett,Detroit,74.0
1903,Batting Average,Nap Lajoie,Cleveland,0.344
1903,Doubles,Socks Seybold,Philadelphia,45.0
1903,Hits,Patsy Dougherty,Boston,195.0
1903,Home Runs,Buck Freeman,Boston,13.0
1903,On Base Percentage,Jimmy Barrett,Detroit,0.407
1903,RBI,Buck Freeman,Boston,104.0
1903,Runs,Patsy Dougherty,Boston,107.0
1903,Slugging Average,Nap Lajoie,Cleveland,0.518
1903,Stolen Bases,Harry Bay,Cleveland,45.0
1903,Total Bases,Buck Freeman,Boston,281.0
1903,Triples,Sam Crawford,Detroit,25.0
1904,Base on Balls,Jimmy Barrett,Detroit,79.0
1904,Batting Average,Nap Lajoie,Cleveland,0.376
1904,Doubles,Nap Lajoie,Cleveland,49.0
1904,Hits,Nap Lajoie,Cleveland,211.0
1904,Home Runs,Harry Davis,Philadelphia,10.0
1904,On Base Percentage,Nap Lajoie,Cleveland,0.413
1904,RBI,Nap Lajoie,Cleveland,102.0
1904,Runs,Patsy Dougherty,Boston,113.0
1904,Runs,Patsy Dougherty,New York,113.0
1904,Slugging Average,Nap Lajoie,Cleveland,0.552
1904,Stolen Bases,Harry Bay,Cleveland,38.0
1904,Stolen Bases,Elmer Flick,Cleveland,38.0
1904,Total Bases,Nap Lajoie,Cleveland,305.0
1904,Triples,Joe Cassidy,Washington,19.0
1904,Triples,Buck Freeman,Boston,19.0
1904,Triples,Chick Stahl,Boston,19.0
1905,Base on Balls,Topsy Hartsel,Philadelphia,121.0
1905,Batting Average,Elmer Flick,Cleveland,0.308
1905,Doubles,Harry Davis,Philadelphia,47.0
1905,Hits,George Stone,St. Louis,187.0
1905,Home Runs,Harry Davis,Philadelphia,8.0
1905,On Base Percentage,Topsy Hartsel,Philadelphia,0.409
1905,RBI,Harry Davis,Philadelphia,83.0
1905,Runs,Harry Davis,Philadelphia,93.0
1905,Slugging Average,Elmer Flick,Cleveland,0.462
1905,Stolen Bases,Danny Hoffman,Philadelphia,46.0
1905,Total Bases,George Stone,St. Louis,259.0
1905,Triples,Elmer Flick,Cleveland,18.0
1906,Base on Balls,Topsy Hartsel,Philadelphia,88.0
1906,Batting Average,George Stone,St. Louis,0.358
1906,Doubles,Nap Lajoie,Cleveland,48.0
1906,Hits,Nap Lajoie,Cleveland,214.0
1906,Home Runs,Harry Davis,Philadelphia,12.0
1906,On Base Percentage,George Stone,St. Louis,0.417
1906,RBI,Harry Davis,Philadelphia,96.0
1906,Runs,Elmer Flick,Cleveland,98.0
1906,Slugging Average,George Stone,St. Louis,0.501
1906,Stolen Bases,John Anderson,Washington,39.0
1906,Stolen Bases,Elmer Flick,Cleveland,39.0
1906,Total Bases,George Stone,St. Louis,291.0
1906,Triples,Elmer Flick,Cleveland,22.0
1907,Base on Balls,Topsy Hartsel,Philadelphia,106.0
1907,Batting Average,Ty Cobb,Detroit,0.35
1907,Doubles,Harry Davis,Philadelphia,35.0
1907,Hits,Ty Cobb,Detroit,212.0
1907,Home Runs,Harry Davis,Philadelphia,8.0
1907,On Base Percentage,Topsy Hartsel,Philadelphia,0.405
1907,RBI,Ty Cobb,Detroit,119.0
1907,Runs,Sam Crawford,Detroit,102.0
1907,Slugging Average,Ty Cobb,Detroit,0.468
1907,Stolen Bases,Ty Cobb,Detroit,49.0
1907,Total Bases,Ty Cobb,Detroit,283.0
1907,Triples,Elmer Flick,Cleveland,18.0
1908,Base on Balls,Topsy Hartsel,Philadelphia,93.0
1908,Batting Average,Ty Cobb,Detroit,0.324
1908,Doubles,Ty Cobb,Detroit,36.0
1908,Hits,Ty Cobb,Detroit,188.0
1908,Home Runs,Sam Crawford,Detroit,7.0
1908,On Base Percentage,Doc Gessler,Boston,0.394
1908,RBI,Ty Cobb,Detroit,108.0
1908,Runs,Matty McIntyre,Detroit,105.0
1908,Slugging Average,Ty Cobb,Detroit,0.476
1908,Stolen Bases,Patsy Dougherty,Chicago,47.0
1908,Total Bases,Ty Cobb,Detroit,276.0
1908,Triples,Ty Cobb,Detroit,20.0
1909,Base on Balls,Donie Bush,Detroit,88.0
1909,Batting Average,Ty Cobb,Detroit,0.377
1909,Doubles,Sam Crawford,Detroit,35.0
1909,Hits,Ty Cobb,Detroit,216.0
1909,Home Runs,Ty Cobb,Detroit,9.0
1909,On Base Percentage,Ty Cobb,Detroit,0.431
1909,RBI,Ty Cobb,Detroit,107.0
1909,Runs,Ty Cobb,Detroit,116.0
1909,Slugging Average,Ty Cobb,Detroit,0.517
1909,Stolen Bases,Ty Cobb,Detroit,76.0
1909,Total Bases,Ty Cobb,Detroit,296.0
1909,Triples,Frank Baker,Philadelphia,19.0
1910,Base on Balls,Donie Bush,Detroit,78.0
1910,Batting Average,Nap Lajoie,Detroit,0.384
1910,Doubles,Nap Lajoie,Cleveland,51.0
1910,Hits,Nap Lajoie,Cleveland,227.0
1910,Home Runs,Jake Stahl,Boston,10.0
1910,On Base Percentage,Ty Cobb,Detroit,0.455
1910,RBI,Sam Crawford,Detroit,120.0
1910,Runs,Ty Cobb,Detroit,106.0
