1901,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →
1901,Statistic,Name(s),Team(s),#,Top 25
1901,Base on Balls,Dummy Hoy,Chicago,86,Top 25
1901,Batting Average,Nap Lajoie,Philadelphia,.426,Top 25
1901,Doubles,Nap Lajoie,Philadelphia,48,Top 25
1901,Hits,Nap Lajoie,Philadelphia,232,Top 25
1901,Home Runs,Nap Lajoie,Philadelphia,14,Top 25
1901,On Base Percentage,Nap Lajoie,Philadelphia,.463,Top 25
1901,RBI,Nap Lajoie,Philadelphia,125,Top 25
1901,Runs,Nap Lajoie,Philadelphia,145,Top 25
1901,Slugging Average,Nap Lajoie,Philadelphia,.643,Top 25
1901,Stolen Bases,Frank Isbell,Chicago,52,Top 25
1901,Total Bases,Nap Lajoie,Philadelphia,350,Top 25
1901,Triples,Bill Keister,Baltimore,21,Top 25
1901,Triples,Jimmy Williams,Baltimore,21,Top 25
1901,Statistic,Name(s),Team(s),#,Top 25
1901,1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History
1902,1902 American League Player Review ← 1901 | 1902 Hitting Statistics League Leaders | 1903 →,1902 American League Player Review ← 1901 | 1902 Hitting Statistics League Leaders | 1903 →,1902 American League Player Review ← 1901 | 1902 Hitting Statistics League Leaders | 1903 →,1902 American League Player Review ← 1901 | 1902 Hitting Statistics League Leaders | 1903 →,1902 American League Player Review ← 1901 | 1902 Hitting Statistics League Leaders | 1903 →
1902,Statistic,Name(s),Team(s),#,Top 25
1902,Base on Balls,Topsy Hartsel,Philadelphia,87,Top 25
1902,Batting Average,Ed Delahanty,Washington,.376,Top 25
1902,Doubles,Harry Davis,Philadelphia,43,Top 25
1902,Doubles,Ed Delahanty,Washington,43,Top 25
1902,Hits,Charlie Hickman,Boston,193,Top 25
1902,Hits,Charlie Hickman,Cleveland,193,Top 25
1902,Home Runs,Socks Seybold,Philadelphia,16,Top 25
1902,On Base Percentage,Ed Delahanty,Washington,.453,Top 25
1902,RBI,Buck Freeman,Boston,121,Top 25
1902,Runs,Dave Fultz,Philadelphia,109,Top 25
1902,Runs,Topsy Hartsel,Philadelphia,109,Top 25
1902,Slugging Average,Ed Delahanty,Washington,.590,Top 25
1902,Stolen Bases,Topsy Hartsel,Philadelphia,47,Top 25
1902,Total Bases,Charlie Hickman,Boston,288,Top 25
1902,Total Bases,Charlie Hickman,Cleveland,288,Top 25
1902,Triples,Jimmy Williams,Baltimore,21,Top 25
1902,Statistic,Name(s),Team(s),#,Top 25
1902,1902 A.L. History | 1902 N.L. History | Year-by-Year History,1902 A.L. History | 1902 N.L. History | Year-by-Year History,1902 A.L. History | 1902 N.L. History | Year-by-Year History,1902 A.L. History | 1902 N.L. History | Year-by-Year History,1902 A.L. History | 1902 N.L. History | Year-by-Year History
1903,1903 American League Player Review ← 1902 | 1903 Hitting Statistics League Leaders | 1904 →,1903 American League Player Review ← 1902 | 1903 Hitting Statistics League Leaders | 1904 →,1903 American League Player Review ← 1902 | 1903 Hitting Statistics League Leaders | 1904 →,1903 American League Player Review ← 1902 | 1903 Hitting Statistics League Leaders | 1904 →,1903 American League Player Review ← 1902 | 1903 Hitting Statistics League Leaders | 1904 →
1903,Statistic,Name(s),Team(s),#,Top 25
1903,Base on Balls,Jimmy Barrett,Detroit,74,Top 25
1903,Batting Average,Nap Lajoie,Cleveland,.344,Top 25
1903,Doubles,Socks Seybold,Philadelphia,45,Top 25
1903,Hits,Patsy Dougherty,Boston,195,Top 25
1903,Home Runs,Buck Freeman,Boston,13,Top 25
1903,On Base Percentage,Jimmy Barrett,Detroit,.407,Top 25
1903,RBI,Buck Freeman,Boston,104,Top 25
1903,Runs,Patsy Dougherty,Boston,107,Top 25
1903,Slugging Average,Nap Lajoie,Cleveland,.518,Top 25
1903,Stolen Bases,Harry Bay,Cleveland,45,Top 25
1903,Total Bases,Buck Freeman,Boston,281,Top 25
1903,Triples,Sam Crawford,Detroit,25,Top 25
1903,Statistic,Name(s),Team(s),#,Top 25
1903,1903 A.L. History | 1903 N.L. History | Year-by-Year History,1903 A.L. History | 1903 N.L. History | Year-by-Year History,1903 A.L. History | 1903 N.L. History | Year-by-Year History,1903 A.L. History | 1903 N.L. History | Year-by-Year History,1903 A.L. History | 1903 N.L. History | Year-by-Year History
1904,1904 American League Player Review ← 1903 | 1904 Hitting Statistics League Leaders | 1905 →,1904 American League Player Review ← 1903 | 1904 Hitting Statistics League Leaders | 1905 →,1904 American League Player Review ← 1903 | 1904 Hitting Statistics League Leaders | 1905 →,1904 American League Player Review ← 1903 | 1904 Hitting Statistics League Leaders | 1905 →,1904 American League Player Review ← 1903 | 1904 Hitting Statistics League Leaders | 1905 →
1904,Statistic,Name(s),Team(s),#,Top 25
1904,Base on Balls,Jimmy Barrett,Detroit,79,Top 25
1904,Batting Average,Nap Lajoie,Cleveland,.376,Top 25
1904,Doubles,Nap Lajoie,Cleveland,49,Top 25
1904,Hits,Nap Lajoie,Cleveland,211,Top 25
1904,Home Runs,Harry Davis,Philadelphia,10,Top 25
1904,On Base Percentage,Nap Lajoie,Cleveland,.413,Top 25
1904,RBI,Nap Lajoie,Cleveland,102,Top 25
1904,Runs,Patsy Dougherty,Boston,113,Top 25
1904,Runs,Patsy Dougherty,New York,113,Top 25
1904,Slugging Average,Nap Lajoie,Cleveland,.552,Top 25
1904,Stolen Bases,Harry Bay,Cleveland,38,Top 25
1904,Stolen Bases,Elmer Flick,Cleveland,38,Top 25
1904,Total Bases,Nap Lajoie,Cleveland,305,Top 25
1904,Triples,Joe Cassidy,Washington,19,Top 25
1904,Triples,Buck Freeman,Boston,19,Top 25
1904,Triples,Chick Stahl,Boston,19,Top 25
1904,Statistic,Name(s),Team(s),#,Top 25
1904,1904 A.L. History | 1904 N.L. History | Year-by-Year History,1904 A.L. History | 1904 N.L. History | Year-by-Year History,1904 A.L. History | 1904 N.L. History | Year-by-Year History,1904 A.L. History | 1904 N.L. History | Year-by-Year History,1904 A.L. History | 1904 N.L. History | Year-by-Year History
1905,1905 American League Player Review  Hitting Statistics League Leaderboard,1905 American League Player Review  Hitting Statistics League Leaderboard,1905 American League Player Review  Hitting Statistics League Leaderboard,1905 American League Player Review  Hitting Statistics League Leaderboard,1905 American League Player Review  Hitting Statistics League Leaderboard
1905,Statistic,Name(s),Team(s),#,Top 25
1905,Base on Balls,Topsy Hartsel,Philadelphia,121,Top 25
1905,Batting Average,Elmer Flick,Cleveland,.308,Top 25
