1901,1901 American League Team Review Hitting Statistics League Leaderboard,1901 American League Team Review Hitting Statistics League Leaderboard,1901 American League Team Review Hitting Statistics League Leaderboard
1901,Statistic,Team,#
1901,Base on Balls,Chicago,475
1901,Batting Average,Baltimore,.294
1901,Doubles,Philadelphia,239
1901,Hits,Philadelphia,1409
1901,Home Runs,Boston,37
1901,On Base Percentage,Baltimore,.353
1901,Runs,Chicago,819
1901,Slugging Average,Baltimore,.397
1901,Stolen Bases,Chicago,280
1901,Triples,Baltimore,111
1901,Statistic,Team,#
1901,1901 American League Team Review Pitching Statistics League Leaderboard,1901 American League Team Review Pitching Statistics League Leaderboard,1901 American League Team Review Pitching Statistics League Leaderboard
1901,Statistic,Team,#
1901,Complete Games,Philadelphia,124
1901,ERA,Chicago,2.98
1901,Fewest Hits Allowed,Boston,1178
1901,Fewest Home Runs Allowed,Philadelphia,20
1901,Fewest Walks Allowed,Washington,284
1901,Saves,Cleveland,4
1901,Saves,Milwaukee,4
1901,Shutouts,Chicago,11
1901,Strikeouts,Boston,396
1901,Statistic,Team,#
1902,1902 American League Team Review Hitting Statistics League Leaderboard,1902 American League Team Review Hitting Statistics League Leaderboard,1902 American League Team Review Hitting Statistics League Leaderboard
1902,Statistic,Team,#
1902,Base on Balls,Baltimore,417
1902,Batting Average,Cleveland,.289
1902,Doubles,Washington,261
1902,Hits,Cleveland,1401
1902,Home Runs,Washington,47
1902,On Base Percentage,Baltimore,.342
1902,Runs,Philadelphia,775
1902,Slugging Average,Washington,.395
1902,Stolen Bases,Chicago,265
1902,Triples,Baltimore,107
1902,Statistic,Team,#
1902,1902 American League Team Review Pitching Statistics League Leaderboard,1902 American League Team Review Pitching Statistics League Leaderboard,1902 American League Team Review Pitching Statistics League Leaderboard
1902,Statistic,Team,#
1902,Complete Games,Washington,130
1902,ERA,Boston,3.02
1902,Fewest Hits Allowed,Cleveland,1199
1902,Fewest Home Runs Allowed,Detroit,20
1902,Fewest Walks Allowed,Washington,312
1902,Saves,Cleveland,3
1902,Saves,Detroit,3
1902,Shutouts,Cleveland,16
1902,Strikeouts,Philadelphia,455
1902,Statistic,Team,#
1903,1903 American League Team Review Hitting Statistics League Leaderboard,1903 American League Team Review Hitting Statistics League Leaderboard,1903 American League Team Review Hitting Statistics League Leaderboard
1903,Statistic,Team,#
1903,Base on Balls,New York,332
1903,Batting Average,Boston,.272
1903,Doubles,Cleveland,231
1903,Hits,Boston,1336
1903,Home Runs,Boston,48
1903,On Base Percentage,Detroit,.318
1903,Runs,Boston,708
1903,Slugging Average,Boston,.392
1903,Stolen Bases,Chicago,180
1903,Triples,Boston,113
1903,Statistic,Team,#
1903,1903 American League Team Review Pitching Statistics League Leaderboard,1903 American League Team Review Pitching Statistics League Leaderboard,1903 American League Team Review Pitching Statistics League Leaderboard
1903,Statistic,Team,#
1903,Complete Games,Cleveland,125
1903,ERA,Boston,2.57
1903,Fewest Hits Allowed,Philadelphia,1124
1903,Fewest Home Runs Allowed,Cleveland,16
1903,Fewest Walks Allowed,St. Louis,237
1903,Saves,Boston,4
1903,Saves,Chicago,4
1903,Shutouts,Boston,20
1903,Shutouts,Cleveland,20
1903,Strikeouts,Philadelphia,728
1903,Statistic,Team,#
1904,1904 American League Team Review Hitting Statistics League Leaderboard,1904 American League Team Review Hitting Statistics League Leaderboard,1904 American League Team Review Hitting Statistics League Leaderboard
1904,Statistic,Team,#
1904,Base on Balls,Chicago,373
1904,Batting Average,Cleveland,.260
1904,Doubles,Cleveland,225
1904,Hits,New York,1354
1904,Home Runs,Philadelphia,31
1904,On Base Percentage,Cleveland,.308
1904,Runs,Cleveland,647
1904,Slugging Average,Cleveland,.354
1904,Stolen Bases,Chicago,216
1904,Triples,Boston,105
1904,Statistic,Team,#
1904,1904 American League Team Review Pitching Statistics League Leaderboard,1904 American League Team Review Pitching Statistics League Leaderboard,1904 American League Team Review Pitching Statistics League Leaderboard
1904,Statistic,Team,#
1904,Complete Games,Boston,148
1904,ERA,Boston,2.12
1904,Fewest Hits Allowed,Philadelphia,1149
1904,Fewest Home Runs Allowed,Cleveland,10
1904,Fewest Walks Allowed,Boston,233
1904,Saves,Washington,4
1904,Shutouts,Chicago,26
1904,Shutouts,Philadelphia,26
1904,Strikeouts,Philadelphia,887
1904,Statistic,Team,#
1905,1905 American League Team Review  Hitting Statistics League Leaderboard,1905 American League Team Review  Hitting Statistics League Leaderboard,1905 American League Team Review  Hitting Statistics League Leaderboard
1905,Statistic,Team,#
1905,Base on Balls,Boston,486
1905,Batting Average,Philadelphia,.255
1905,Doubles,Philadelphia,256
1905,Hits,Cleveland,1318
1905,Home Runs,Boston,29
1905,On Base Percentage,Philadelphia,.310
1905,Runs,Philadelphia,623
1905,Slugging Average,Philadelphia,.338
1905,Stolen Bases,New York,200
1905,Triples,Cleveland,72
1905,1905 American League Team Review  Pitching Statistics League Leaderboard,1905 American League Team Review  Pitching Statistics League Leaderboard,1905 American League Team Review  Pitching Statistics League Leaderboard
1905,Statistic,Team,#
1905,Complete Games,Cleveland,140
1905,ERA,Chicago,1.99
1905,Fewest Hits Allowed,Philadelphia,1137
1905,Fewest Home Runs Allowed,Chicago,11
1905,Fewest Home Runs Allowed,Detroit,11
1905,Fewest Walks Allowed,Boston,292
1905,Saves,New York,4
1905,Shutouts,Philadelphia,19
1905,Strikeouts,Philadelphia,895
