1911,Conference placeholder,1911 American League Team Standings 1911 Team Standings | 1911 World Series,1911 American League Team Standings 1911 Team Standings | 1911 World Series,Strike Splits placeholder,Ties placeholder,1911 American League Team Standings 1911 Team Standings | 1911 World Series,1911 American League Team Standings 1911 Team Standings | 1911 World Series,1911 American League Team Standings 1911 Team Standings | 1911 World Series,Payroll placeholder
1911,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1911,Conference placeholder,Philadelphia Athletics,101,Strike Splits placeholder,Ties placeholder,50,.669,0,Payroll placeholder
1911,Conference placeholder,Detroit Tigers,89,Strike Splits placeholder,Ties placeholder,65,.578,13½,Payroll placeholder
1911,Conference placeholder,Cleveland Naps,80,Strike Splits placeholder,Ties placeholder,73,.523,22,Payroll placeholder
1911,Conference placeholder,Chicago White Sox,77,Strike Splits placeholder,Ties placeholder,74,.510,24,Payroll placeholder
1911,Conference placeholder,Boston Red Sox,78,Strike Splits placeholder,Ties placeholder,75,.510,24,Payroll placeholder
1911,Conference placeholder,New York Highlanders,76,Strike Splits placeholder,Ties placeholder,76,.500,25½,Payroll placeholder
1911,Conference placeholder,Washington Senators,64,Strike Splits placeholder,Ties placeholder,90,.416,38½,Payroll placeholder
1911,Conference placeholder,St. Louis Browns,45,Strike Splits placeholder,Ties placeholder,107,.296,56½,Payroll placeholder
1911,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1911,Conference placeholder,American League Team Standings,American League Team Standings,Strike Splits placeholder,Ties placeholder,American League Team Standings,American League Team Standings,American League Team Standings,Payroll placeholder
1912,Conference placeholder,1912 American League Team Standings 1912 Team Standings | 1912 World Series,1912 American League Team Standings 1912 Team Standings | 1912 World Series,Strike Splits placeholder,Ties placeholder,1912 American League Team Standings 1912 Team Standings | 1912 World Series,1912 American League Team Standings 1912 Team Standings | 1912 World Series,1912 American League Team Standings 1912 Team Standings | 1912 World Series,Payroll placeholder
1912,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1912,Conference placeholder,Boston Red Sox,105,Strike Splits placeholder,Ties placeholder,47,.691,0,Payroll placeholder
1912,Conference placeholder,Washington Senators,91,Strike Splits placeholder,Ties placeholder,61,.599,14,Payroll placeholder
1912,Conference placeholder,Philadelphia Athletics,90,Strike Splits placeholder,Ties placeholder,62,.592,15,Payroll placeholder
